Name,POS,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,PB,WP,SB,CS,CSPCT
Terry Kennedy,C,28,147,141,121,1208,776,708,54,14,6,0.982,10,36,100,38,28
Bruce Bochy,C,29,36,20,14,229.1,161,147,12,2,2,0.988,0,7,23,7,23
Doug Gwosdz,C,24,6,1,0,23,27,25,1,1,0,0.963,2,1,2,1,33
Steve Garvey,1B,35,159,158,134,1329.2,1319,1232,87,0,117,1,0,0,0,0,0
Kurt Bevacqua,1B,37,20,2,1,81.1,71,66,5,0,8,1,0,0,0,0,0
Champ Summers,1B,38,8,2,2,47,54,53,1,0,8,1,0,0,0,0,0
Carmelo Martinez,1B,23,2,0,0,2.1,5,5,0,0,0,1,0,0,0,0,0
Alan Wiggins,2B,26,157,155,139,1346.2,833,391,410,32,95,0.962,0,0,0,0,0
Tim Flannery,2B,26,22,6,3,102.2,54,17,34,3,4,0.944,0,0,0,0,0
Mario Ramirez,2B,26,2,1,1,11,2,2,0,0,1,1,0,0,0,0,0
Graig Nettles,3B,39,119,109,85,945.2,314,93,201,20,14,0.936,0,0,0,0,0
Luis Salazar,3B,28,58,39,28,359.2,135,41,90,4,5,0.97,0,0,0,0,0
Tim Flannery,3B,26,14,7,5,71.1,19,6,12,1,2,0.947,0,0,0,0,0
Kurt Bevacqua,3B,37,10,5,2,59,15,4,10,1,2,0.933,0,0,0,0,0
Mario Ramirez,3B,26,6,2,0,24.2,11,3,7,1,0,0.909,0,0,0,0,0
Garry Templeton,SS,28,146,143,119,1226.2,658,225,407,26,79,0.96,0,0,0,0,0
Mario Ramirez,SS,26,33,12,6,152.2,69,29,38,2,11,0.971,0,0,0,0,0
Tim Flannery,SS,26,14,6,5,68,37,13,23,1,6,0.973,0,0,0,0,0
Luis Salazar,SS,28,4,1,1,13,8,3,5,0,0,1,0,0,0,0,0
Carmelo Martinez,LF,23,142,140,127,1231.1,334,311,15,8,4,0.976,0,0,0,0,0
Bobby Brown,LF,30,27,19,15,172,61,57,2,2,0,0.967,0,0,0,0,0
Ron Roenicke,LF,27,7,2,1,39,7,7,0,0,0,1,0,0,0,0,0
Luis Salazar,LF,28,4,1,0,17,4,3,1,0,0,1,0,0,0,0,0
Kurt Bevacqua,LF,37,1,0,0,1,0,0,0,0,0,,0,0,0,0,0
Kevin McReynolds,CF,24,143,142,130,1234,433,421,8,4,1,0.991,0,0,0,0,0
Luis Salazar,CF,28,19,8,6,108.2,42,39,1,2,0,0.952,0,0,0,0,0
Bobby Brown,CF,30,13,12,6,100.2,26,26,0,0,0,1,0,0,0,0,0
Eddie Miller,CF,27,4,0,0,10,4,4,0,0,0,1,0,0,0,0,0
Ron Roenicke,CF,27,2,0,0,6,2,2,0,0,0,1,0,0,0,0,0
Tony Gwynn,CF,24,1,0,0,1,3,2,0,1,0,0.667,0,0,0,0,0
Tony Gwynn,RF,24,156,155,138,1337.1,358,343,12,3,4,0.992,0,0,0,0,0
Bobby Brown,RF,30,16,4,3,77,15,14,0,1,0,0.933,0,0,0,0,0
Eddie Miller,RF,27,4,1,0,22,3,1,2,0,0,1,0,0,0,0,0
Kurt Bevacqua,RF,37,2,1,1,10,3,3,0,0,0,1,0,0,0,0,0
Luis Salazar,RF,28,2,1,0,9,3,3,0,0,0,1,0,0,0,0,0
Ron Roenicke,RF,27,2,0,0,5,2,2,0,0,0,1,0,0,0,0,0
