Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
C,Terry Kennedy*,28,148,570,530,54,127,16,1,14,57,1,2,33,99,.240,.284,.353,.637,187,16,2,0,5,8
1B,Steve Garvey,35,161,653,617,72,175,27,2,8,86,1,2,24,64,.284,.307,.373,.680,230,25,1,1,10,3
2B,Alan Wiggins#,26,158,692,596,106,154,19,7,3,34,70,21,75,57,.258,.342,.329,.671,196,2,3,14,4,1
SS,Garry Templeton#,28,148,535,493,40,127,19,3,2,35,8,3,39,81,.258,.312,.320,.633,158,10,1,0,2,23
3B,Graig Nettles*,39,124,465,395,56,90,11,1,20,65,0,0,58,55,.228,.329,.413,.742,163,12,5,0,7,4
LF,Carmelo Martinez,23,149,570,488,64,122,28,2,13,66,1,3,68,82,.250,.340,.395,.736,193,7,4,0,10,4
CF,Kevin McReynolds,24,147,571,525,68,146,26,6,20,75,3,6,34,69,.278,.317,.465,.782,244,14,0,3,9,8
RF,Tony Gwynn*,24,158,675,606,88,213,21,10,5,71,33,18,59,23,.351,.410,.444,.853,269,15,2,6,2,13
3B,Luis Salazar,28,93,236,228,20,55,7,2,3,17,11,7,6,38,.241,.261,.329,.590,75,5,0,2,0,1
OF,Bobby Brown#,30,85,187,171,28,43,7,2,3,29,16,4,11,33,.251,.292,.368,.660,63,6,0,2,3,0
IF,Tim Flannery*,26,86,146,128,24,35,3,3,2,10,4,1,12,17,.273,.347,.391,.738,50,1,3,2,1,1
C,Bruce Bochy,29,37,97,92,10,21,5,1,4,15,0,1,3,21,.228,.250,.435,.685,40,2,0,1,1,0
UT,Kurt Bevacqua,37,59,95,80,7,16,3,0,1,9,0,0,14,19,.200,.326,.275,.601,22,6,1,0,0,1
SS,Mario Ramirez,26,48,73,59,12,7,1,0,2,9,0,0,13,14,.119,.278,.237,.515,14,2,0,1,0,1
1B,Champ Summers*,38,47,59,54,5,10,3,0,1,12,0,0,4,15,.185,.254,.296,.551,16,2,1,0,0,1
OF,Ron Roenicke#,27,12,22,20,4,6,1,0,1,2,0,0,2,5,.300,.364,.500,.864,10,0,0,0,0,1
OF,Eddie Miller#,27,13,14,14,4,4,0,1,1,2,4,0,0,4,.286,.286,.643,.929,9,0,0,0,0,0
C,Doug Gwosdz,24,7,10,8,0,2,0,0,0,1,0,0,2,5,.250,.400,.250,.650,2,0,0,0,0,0
P,Eric Show,28,32,76,69,7,17,3,0,3,10,0,0,0,23,.246,.257,.420,.677,29,4,1,6,0,0
P,Tim Lollar*,28,31,76,68,6,15,1,1,3,15,0,0,6,21,.221,.280,.397,.677,27,1,0,1,1,0
P,Ed Whitson,29,36,68,61,0,3,0,0,0,1,0,0,1,12,.049,.065,.049,.114,3,0,0,6,0,0
P,Mark Thurmond*,27,32,68,58,1,11,1,0,0,4,0,0,3,10,.190,.230,.207,.436,12,1,0,7,0,0
P,Dave Dravecky,28,50,49,41,3,4,2,0,0,3,0,0,3,8,.098,.159,.146,.305,6,0,0,5,0,0
P,Andy Hawkins,24,36,45,41,2,8,0,0,0,1,0,0,1,14,.195,.214,.195,.409,8,1,0,3,0,0
P,Rich Gossage,32,62,25,22,0,4,0,0,0,0,0,0,1,8,.182,.217,.182,.399,4,0,0,2,0,0
P,Craig Lefferts*,26,62,18,17,1,5,1,0,0,0,0,0,0,6,.294,.294,.353,.647,6,0,0,1,0,0
P,Greg Harris#,28,19,8,8,3,3,1,0,0,0,0,0,0,1,.375,.375,.500,.875,4,0,0,0,0,0
P,Greg Booker,24,32,7,7,1,2,1,0,0,0,0,0,0,2,.286,.286,.429,.714,3,0,0,0,0,0
P,Luis DeLeon,25,32,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,1,0,0
P,Floyd Chiffer,28,15,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0
P,Sid Monge#,33,13,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0
P,Pitcher Totals,27.7,162,449,400,24,72,10,1,6,34,0,0,15,109,.180,.211,.255,.466,102,7,1,32,1,0
