Name,Age,W,L,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,FIP,WHIP
Eric Show,28,15,9,3.40,32,32,0,3,1,0,206.2,175,88,78,18,88,4,104,4,2,6,862,4.23,1.273
Tim Lollar*,28,11,13,3.91,31,31,0,3,2,0,195.2,168,89,85,18,105,2,131,1,0,10,836,4.25,1.395
Ed Whitson,29,14,8,3.24,31,31,0,1,0,0,189.0,181,72,68,16,42,1,103,3,1,3,773,3.49,1.180
Mark Thurmond*,27,14,8,2.97,32,29,1,1,1,0,178.2,174,70,59,12,55,3,57,0,2,2,750,3.93,1.282
Andy Hawkins,24,8,9,4.68,36,22,9,2,1,0,146.0,143,90,76,13,72,2,77,2,2,1,650,4.39,1.473
Rich Gossage,32,10,6,2.90,62,0,51,0,0,25,102.1,75,34,33,6,36,4,84,1,2,2,412,2.97,1.085
Dave Dravecky*,28,9,8,2.93,50,14,17,3,2,8,156.2,125,53,51,12,51,0,71,4,2,3,631,3.91,1.123
Craig Lefferts*,26,3,4,2.13,62,0,29,0,0,10,105.2,88,29,25,4,24,1,56,1,2,2,420,2.91,1.060
Greg Booker,24,1,1,3.30,32,1,12,0,0,0,57.1,67,27,21,4,27,4,28,0,0,6,262,4.11,1.640
Luis DeLeon,25,2,2,5.48,32,0,10,0,0,0,42.2,44,34,26,12,12,2,44,4,0,1,191,5.49,1.313
Greg Harris,28,2,1,2.70,19,1,10,0,0,1,36.2,28,14,11,3,18,0,30,2,0,3,158,3.83,1.255
Floyd Chiffer,28,1,0,7.71,15,1,6,0,0,0,28.0,42,24,24,1,16,2,20,0,0,4,139,3.52,2.071
Sid Monge*,33,2,1,4.80,13,0,4,0,0,0,15.0,17,10,8,3,17,3,7,0,0,1,78,7.83,2.267
